"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
9.2,3.8,0.6,-0.3,-2.7,0.5,-64.9,-24.4,-6.4
9.2,3.8,0.7,-0.5,-2.8,0.6,-64.5,-24.4,-5.9
9.1,3.9,0.7,-1.4,-3.2,0.6,-64.5,-24.4,-5.9
9.2,3.9,0.7,-3.2,-3.7,0.4,-65.6,-24.4,-6.7
9.2,3.8,0.6,-3,-2.9,0.8,-65.6,-24.4,-6.7
9.2,3.8,0.6,-0.4,-1.4,-0.1,-64.4,-24.4,-5.2
9.2,3.9,0.6,0.9,-0.5,-0.3,-64.4,-24.4,-5.2
9.1,3.9,0.6,-0.2,-0.2,-0.7,-64.5,-24.4,-5.9
9.2,3.9,0.5,-1,-0.8,-0.9,-64.5,-24.4,-5.9
9.1,3.9,0.5,-1.7,-0.2,-1,-64.5,-24,-5.5
9.1,3.8,0.4,-2.8,-0.5,-0.4,-64.5,-24,-5.5
9.2,3.8,0.4,-0.9,0.3,-0.6,-64.9,-24,-4.7
9.1,3.9,0.5,0.5,0,-0.2,-64.9,-24,-4.7
9.1,3.9,0.5,0,-1.1,-0.2,-64.5,-24.4,-5.2
9.2,3.8,0.5,-1.1,-2.9,0.6,-64.5,-24.4,-5.2
9.2,3.8,0.3,-1.6,-3.9,-1.1,-64.5,-24.8,-5.5
9.1,3.8,0.4,-0.4,-1.8,-0.8,-64.5,-24.8,-5.5
9.1,3.8,0.5,0.4,-0.9,-0.4,-64.5,-24.4,-6.4
9.2,3.9,0.5,0.2,-0.2,-0.6,-64.5,-24.4,-6.4
9,3.9,0.5,-0.2,0.9,-0.5,-64.5,-24.4,-5.9
9.2,3.8,0.4,-0.6,-0.2,-0.7,-64.5,-24.4,-5.9
9.2,3.8,0.5,-0.2,0.6,-0.4,-64.9,-24,-5.9
9,3.7,0.5,-0.2,-0.1,0.2,-64.9,-24,-5.9
9.2,3.9,0.5,1,-0.4,-0.9,-64.1,-24,-5.5
9.1,3.8,0.4,0.2,-0.4,0,-64.1,-24,-5.5
9.1,3.9,0.5,-0.6,-0.4,-0.4,-65.2,-24.4,-6.4
9.2,3.8,0.4,-0.8,-1.7,0,-65.2,-24.4,-6.4
9.1,3.9,0.6,1.2,0.1,-0.8,-64.9,-24,-5.9
9.1,3.9,0.5,0.6,-1.4,0.1,-64.9,-24,-5.9
9.1,3.9,0.5,0.3,-1.4,-0.3,-64.5,-23.7,-4.7
